epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682853456115,2023-04-30T14.17.36.115,2.843,-0.009,-0.123,0.059
1682853456125,2023-04-30T14.17.36.125,2.853,0.010,-0.226,0.066
1682853456135,2023-04-30T14.17.36.135,2.863,0.015,-0.314,0.115
1682853456146,2023-04-30T14.17.36.146,2.874,-0.047,-0.429,0.138
1682853456154,2023-04-30T14.17.36.154,2.882,-0.082,-0.521,0.191
1682853456165,2023-04-30T14.17.36.165,2.893,-0.053,-0.593,0.238
1682853456176,2023-04-30T14.17.36.176,2.904,0.003,-0.674,0.218
1682853456185,2023-04-30T14.17.36.185,2.913,0.013,-0.725,0.170
1682853456196,2023-04-30T14.17.36.196,2.924,-0.008,-0.770,0.102
1682853456206,2023-04-30T14.17.36.206,2.934,0.002,-0.858,0.006
1682853456216,2023-04-30T14.17.36.216,2.944,0.003,-0.945,-0.055
1682853456226,2023-04-30T14.17.36.226,2.954,0.032,-1.028,-0.070
1682853456237,2023-04-30T14.17.36.237,2.965,0.001,-1.073,-0.090
1682853456247,2023-04-30T14.17.36.247,2.975,-0.076,-1.101,-0.120
1682853456257,2023-04-30T14.17.36.257,2.985,-0.105,-1.081,-0.113
1682853456266,2023-04-30T14.17.36.266,2.994,-0.186,-1.014,-0.153
1682853456276,2023-04-30T14.17.36.276,3.004,-0.297,-0.817,-0.179
1682853456286,2023-04-30T14.17.36.286,3.014,-0.210,-0.785,-0.435
1682853456297,2023-04-30T14.17.36.297,3.025,-0.072,-0.809,-0.701
1682853456307,2023-04-30T14.17.36.307,3.035,0.037,-0.757,-0.825
1682853456317,2023-04-30T14.17.36.317,3.045,0.110,-0.628,-0.821
1682853456327,2023-04-30T14.17.36.327,3.055,0.174,-0.424,-0.669
1682853456338,2023-04-30T14.17.36.338,3.066,0.129,-0.258,-0.478
1682853456348,2023-04-30T14.17.36.348,3.076,0.008,-0.023,-0.208
1682853456358,2023-04-30T14.17.36.358,3.086,0.027,0.161,0.116
1682853456368,2023-04-30T14.17.36.368,3.096,-0.018,0.327,0.403
1682853456377,2023-04-30T14.17.36.377,3.105,-0.050,0.545,0.679
1682853456387,2023-04-30T14.17.36.387,3.115,-0.051,0.668,0.788
1682853456398,2023-04-30T14.17.36.398,3.126,-0.087,0.754,0.784
1682853456408,2023-04-30T14.17.36.408,3.136,-0.060,0.882,0.813
1682853456418,2023-04-30T14.17.36.418,3.146,-0.082,0.968,0.765
1682853456428,2023-04-30T14.17.36.428,3.156,-0.134,1.034,0.715
1682853456439,2023-04-30T14.17.36.439,3.167,-0.100,1.037,0.659
1682853456449,2023-04-30T14.17.36.449,3.177,-0.079,0.991,0.549
1682853456459,2023-04-30T14.17.36.459,3.187,-0.109,0.953,0.465
1682853456469,2023-04-30T14.17.36.469,3.197,-0.157,0.903,0.355
1682853456480,2023-04-30T14.17.36.480,3.208,-0.109,0.782,0.185
1682853456490,2023-04-30T14.17.36.490,3.218,-0.042,0.663,0.082
1682853456499,2023-04-30T14.17.36.499,3.227,-0.023,0.584,0.057
1682853456509,2023-04-30T14.17.36.509,3.237,-0.003,0.521,0.072
1682853456519,2023-04-30T14.17.36.519,3.247,0.012,0.468,0.074
